,,,,
1,1,J452,Slow,Slow
1,2,E448,L2,L2
1,3,J105,Normal,Normal
1,4,H034,Normal,Normal
1,5,H471,Slow,Slow
1,6,J252,Slow,Slow
1,7,G301,Normal,Normal
1,8,H386,Slow,Slow
1,9,D241,Slow,Slow
1,10,G372,Slow,Slow
1,11,C460,Normal,
1,12,C460,Normal,
1,13,C460,Normal,
1,14,C460,Normal,
,,,,
2,1,K433,L2,L2
2,2,K165,Normal,Normal
2,3,K503,,New_X
2,4,K332,New_X,Slow
2,5,K429,Slow,Slow
2,6,K374,New_X,Slow
2,7,K166,New_X,Slow
2,8,K423,New,New
2,9,K455,New_X,Slow
2,10,K464,Slow,Slow
2,11,K259,Slow,Slow
2,12,C460,Normal,
2,13,C460,Normal,
2,14,C460,Normal,
,,,,
3,1,K400,Normal,Normal
3,2,E435,L2,L2
3,3,K289,Slow,Slow
3,4,K148,,Slow
3,5,K487,,New
3,6,J530,Normal,Normal
3,7,K122,Slow,Slow
3,8,K431,Slow,Slow
3,9,K339,Slow,Slow
3,10,K038,Slow,Slow
3,11,K046,Slow,Slow
3,12,J366,Normal,Normal
3,13,K364,Normal,
3,14,K421,,
,,,,
4,1,E494,Normal,Normal
4,2,H481,Normal,Normal
4,3,K190,Normal,Normal
4,4,J080,Normal,Normal
4,5,K200,Slow,Slow
4,6,J215,Slow,Slow
4,7,J137,Slow,Slow
4,8,J194,Slow,Slow
4,9,H016,L2,L2
4,10,H392,L2,L2
4,11,E471,Slow,Slow
4,12,G312,Slow,Slow
4,13,J258,Slow,Slow
4,14,C460,Normal,
,,,,
5,1,J398,Slow,Slow
5,2,J170,Slow,Slow
5,3,K155,Slow,Slow
5,4,K262,Slow,Slow
5,5,J533,Normal,Normal
5,6,J377,Slow,Slow
5,7,J447,Normal,Normal
5,8,J477,Normal,Normal
5,9,J224,,L2
5,10,J463,Slow,Slow
5,11,H354,Slow,Slow
5,12,J509,Slow,Slow
5,13,J524,Normal,Normal
5,14,J425,Slow,Slow
,,,,
6,1,J161,Slow,Slow
6,2,J143,L2,L2
6,3,K476,,New
6,4,J531,L1,L1
6,5,K167,New_X,Slow
6,6,J540,Normal,Normal
6,7,K312,Slow,Slow
6,8,K366,New_X,Slow
6,9,K370,Normal,Normal
6,10,K365,Slow,Slow
6,11,K381,Normal,Normal
6,12,K263,Slow,Slow
6,13,C460,Normal,
6,14,C460,Normal,
,,,,
7,1,K184,Slow,Slow
7,2,J015,Slow,Slow
7,3,K358,Normal,Normal
7,4,E459,L2,L2
7,5,K382,Slow,Slow
7,6,J225,Slow,Slow
7,7,H459,Slow,Slow
7,8,K319,Slow,Slow
7,9,K323,Slow,Slow
7,10,K282,Normal,Normal
7,11,K305,Normal,Normal
7,12,J294,Slow,Slow
7,13,K143,Slow,Slow
7,14,J397,Normal,Normal
,,,,
8,1,H165,Slow,Normal
8,2,J279,Slow,Normal
8,3,G223,L2,L2
8,4,J330,Slow,Normal
8,5,J200,Normal,Normal
8,6,G209,Slow,Normal
8,7,J486,Slow,Normal
8,8,H161,Slow,Slow
8,9,K094,L2,Normal
8,10,K079,New_X,Normal
8,11,H135,Normal,Slow
8,12,K062,Slow,Normal
8,13,C460,Normal,
8,14,C460,Normal,
,,,,
9,1,J195,Normal,Normal
9,2,J008,Slow,Slow
9,3,G365,Normal,Normal
9,4,H081,,L2
9,5,H410,Normal,Normal
9,6,H303,Normal,Normal
9,7,G268,Normal,Normal
9,8,E061,L2,L2
9,9,J141,Normal,Normal
9,10,K208,Normal,Normal
9,11,J321,Normal,Normal
9,12,C460,Normal,
9,13,C460,Normal,
9,14,C460,Normal,
,,,,
10,1,J027,Normal,Normal
10,2,J418,,L2
10,3,K146,Slow,Slow
10,4,K495,Slow,Slow
10,5,H321,L2,L2
10,6,J233,Normal,Normal
10,7,H364,Normal,Normal
10,8,H433,Slow,Slow
10,9,K092,V_Slow,V_Slow
10,10,J265,Slow,Slow
10,11,K204,Slow,Slow
10,12,H197,Slow,Slow
10,13,C460,Normal,
10,14,C460,Normal,
